   J  Sym   #        Energy    g Population Name J Ka Kc     
   0   E+   1        0.0000    1 1.98691e-5 v=0  0  0  0     
   1   E+   1        0.2420    3 5.95382e-5 v=0  1  0  1     
   1   O+   1        0.8940    3 5.93523e-5 v=0  1  1  0     
   1   O-   1        0.8860    3 5.93545e-5 v=0  1  1  1     
   2   E+   1        0.7259    5 9.90002e-5 v=0  2  0  2     
   2   E+   2        3.3181    5 9.77771e-5 v=0  2  2  0     
   2   E-   1        3.3180    5 9.77771e-5 v=0  2  2  1     
   2   O+   1        1.3860    5 9.86873e-5 v=0  2  1  1     
   2   O-   1        1.3620    5 9.86987e-5 v=0  2  1  2     
   3   E+   1        1.4516    7 .000138119 v=0  3  0  3     
   3   E+   2        4.0444    7 .000136412 v=0  3  2  1     
   3   E-   1        4.0440    7 .000136412 v=0  3  2  2     
   3   O+   1        2.1240    7 .000137674 v=0  3  1  2     
   3   O+   2        7.2840    7 .000134309 v=0  3  3  0     
   3   O-   1        2.0760    7 .000137706 v=0  3  1  3     
   3   O-   2        7.2840    7 .000134309 v=0  3  3  1     
   4   E+   1        2.4189    9 .000176759 v=0  4  0  4     
   4   E+   2        5.0131    9 .000174574 v=0  4  2  2     
   4   E+   3       12.7881    9 .000168184 v=0  4  4  0     
   4   E-   1        5.0119    9 .000174575 v=0  4  2  3     
   4   E-   2       12.7881    9 .000168184 v=0  4  4  1     
   4   O+   1        3.1078    9 .000176176 v=0  4  1  3     
   4   O+   2        8.2522    9 .000171883 v=0  4  3  1     
   4   O-   1        3.0278    9 .000176244 v=0  4  1  4     
   4   O-   2        8.2522    9 .000171883 v=0  4  3  2     
   5   E+   1        3.6274   11 .000214791 v=0  5  0  5     
   5   E+   2        6.2244   11 .000212132 v=0  5  2  3     
   5   E+   3       13.9982   11 .000204369 v=0  5  4  1     
   5   E-   1        6.2218   11 .000212135 v=0  5  2  4     
   5   E-   2       13.9982   11 .000204369 v=0  5  4  2     
   5   O+   1        4.3375   11 .000214061 v=0  5  1  4     
   5   O+   2        9.4625   11 .000208863 v=0  5  3  2     
   5   O+   3       19.8301   11 .000198732 v=0  5  5  0     
   5   O-   1        4.2175   11 .000214184 v=0  5  1  5     
