modenumber	Symmetry	Frequency	IR_Intensity	reduced_mass	torsionindex	type	x	modeindex	verindex	zpesum
1	AG	3148.694	0	1.1014				1	0	3148.69360351563
2	AG	3055.295	0	1.0366				2	0	3055.29541015625
3	AG	3044.416	0	1.0592				3	0	3044.41625976563
4	AG	1493.083	0	1.0671				4	0	1493.08264160156
5	AG	1473.4	0	1.0649				5	0	1473.39953613281
6	AG	1393.862	0	1.3959				6	0	1393.86206054688
7	AG	1381.994	0	1.51				7	0	1381.99438476563
8	AG	1170.775	0	2.1126				8	0	1170.77465820313
9	AG	1094.776	0	2.0749				9	0	1094.77551269531
10	AG	852.3019	0	1.8896				10	0	852.301879882813
11	AG	425.4817	0	2.6847				11	0	425.481689453125
12	AU	3144.759	91.633	1.1022				12	0	3144.75903320313
13	AU	3107.164	23.961	1.104				13	0	3107.16381835938
14	AU	1490.641	13.258	1.0348				14	0	1490.64135742188
15	AU	1279.47	0.297	1.2517				15	0	1279.47021484375
16	AU	951.0043	0.566	1.1203				16	0	951.004272460938
17	AU	731.2049	2.24	1.0684				17	0	731.204895019531
18	AU	227.9739	0	1.0652	2			18	0	227.973907470703
19	AU	118.4919	0.014	1.9029	1			19	0	118.491897583008
20	BG	3142.382	0	1.1023				20	0	3142.3818359375
21	BG	3085.723	0	1.0999				21	0	3085.72338867188
22	BG	1488.963	0	1.0428				22	0	1488.96252441406
23	BG	1321.878	0	1.0702				23	0	1321.87829589844
24	BG	1199.68	0	1.761				24	0	1199.6796875
25	BG	803.5598	0	1.1231				25	0	803.559814453125
26	BG	263.8666	0	1.1224	3			26	0	263.866607666016
27	BU	3149.293	66.302	1.1011				27	0	3149.29296875
28	BU	3054.739	91.529	1.0398				28	0	3054.73876953125
29	BU	3052.091	30.13	1.0559				29	0	3052.09130859375
30	BU	1497.038	7.521	1.0844				30	0	1497.03845214844
31	BU	1478.269	1.091	1.0536				31	0	1478.26904296875
32	BU	1394.745	4.34	1.2727				32	0	1394.74487304688
33	BU	1301.239	2.764	1.3612				33	0	1301.23864746094
34	BU	1043.218	0.222	3.2906				34	0	1043.21789550781
35	BU	969.6888	4.083	1.2044				35	0	969.688781738281
36	BU	256.1214	0.007	2.2403				36	0	256.121398925781

    
