   J  Sym   #        Energy    g Population Name J Ka Kc     
   0   E+   1        0.0000    1 .000203688 v=0  0  0  0     
   1   E+   1        1.3620    3 .000607085 v=0  1  0  1     
   1   O+   1        3.2340    3 .000601659 v=0  1  1  0     
   1   O-   1        3.2340    3 .000601659 v=0  1  1  1     
   2   E+   1        4.0860    5 .000998676 v=0  2  0  2     
   2   E+   2       11.5740    5 .000963448 v=0  2  2  0     
   2   E-   1       11.5740    5 .000963448 v=0  2  2  1     
   2   O+   1        5.9580    5 .00098975  v=0  2  1  1     
   2   O-   1        5.9580    5 .00098975  v=0  2  1  2     
   3   E+   1        8.1720    7 .001371014 v=0  3  0  3     
   3   E+   2       15.6600    7 .001322652 v=0  3  2  1     
   3   E-   1       15.6600    7 .001322652 v=0  3  2  2     
   3   O+   1       10.0440    7 .001358761 v=0  3  1  2     
   3   O+   2       25.0200    7 .001264592 v=0  3  3  0     
   3   O-   1       10.0440    7 .001358761 v=0  3  1  3     
   3   O-   2       25.0200    7 .001264592 v=0  3  3  1     
   4   E+   1       13.6200    9 .001717272 v=0  4  0  4     
   4   E+   2       21.1080    9 .001656696 v=0  4  2  2     
   4   E+   3       43.5720    9 .00148749  v=0  4  4  0     
   4   E-   1       21.1080    9 .001656696 v=0  4  2  3     
   4   E-   2       43.5720    9 .00148749  v=0  4  4  1     
   4   O+   1       15.4920    9 .001701924 v=0  4  1  3     
   4   O+   2       30.4680    9 .001583972 v=0  4  3  1     
   4   O-   1       15.4920    9 .001701924 v=0  4  1  4     
   4   O-   2       30.4680    9 .001583972 v=0  4  3  2     
   5   E+   1       20.4300   11 .002031446 v=0  5  0  5     
   5   E+   2       27.9180   11 .001959787 v=0  5  2  3     
   5   E+   3       50.3820   11 .001759624 v=0  5  4  1     
   5   E-   1       27.9180   11 .001959787 v=0  5  2  4     
   5   E-   2       50.3820   11 .001759624 v=0  5  4  2     
   5   O+   1       22.3020   11 .002013289 v=0  5  1  4     
   5   O+   2       37.2780   11 .001873758 v=0  5  3  2     
   5   O+   3       67.2300   11 .001623037 v=0  5  5  0     
   5   O-   1       22.3020   11 .002013289 v=0  5  1  5     
   5   O-   2       37.2780   11 .001873758 v=0  5  3  3     
   5   O-   3       67.2300   11 .001623037 v=0  5  5  1     
   6   E+   1       28.6020   13 .002308527 v=0  6  0  6     
   6   E+   2       36.0900   13 .002227094 v=0  6  2  4     
   6   E+   3       58.5540   13 .00199963  v=0  6  4  2     
   6   E+   4       95.9940   13 .001670968 v=0  6  6  0     
   6   E-   1       36.0900   13 .002227094 v=0  6  2  5     
   6   E-   2       58.5540   13 .00199963  v=0  6  4  3     
   6   E-   3       95.9940   13 .001670968 v=0  6  6  1     
   6   O+   1       30.4740   13 .002287894 v=0  6  1  5     
   6   O+   2       45.4500   13 .002129331 v=0  6  3  3     
   6   O+   3       75.4020   13 .001844412 v=0  6  5  1     
   6   O-   1       30.4740   13 .002287894 v=0  6  1  6     
   6   O-   2       45.4500   13 .002129331 v=0  6  3  4     
   6   O-   3       75.4020   13 .001844412 v=0  6  5  2     
   7   E+   1       38.1360   15 .002544632 v=0  7  0  7     
   7   E+   2       45.6240   15 .002454871 v=0  7  2  5     
   7   E+   3       68.0880   15 .002204143 v=0  7  4  3     
   7   E+   4      105.5280   15 .001841867 v=0  7  6  1     
   7   E-   1       45.6240   15 .002454871 v=0  7  2  6     
   7   E-   2       68.0880   15 .002204143 v=0  7  4  4     
   7   E-   3      105.5280   15 .001841867 v=0  7  6  2     
   7   O+   1       40.0080   15 .002521889 v=0  7  1  6     
   7   O+   2       54.9840   15 .002347109 v=0  7  3  4     
   7   O+   3       84.9360   15 .00203305  v=0  7  5  2     
   7   O+   4      129.8640   15 .001638967 v=0  7  7  0     
   7   O-   1       40.0080   15 .002521889 v=0  7  1  7     
   7   O-   2       54.9840   15 .002347109 v=0  7  3  5     
   7   O-   3       84.9360   15 .00203305  v=0  7  5  3     
   7   O-   4      129.8640   15 .001638967 v=0  7  7  1     
   8   E+   1       49.0320   17 .002737084 v=0  8  0  8     
   8   E+   2       56.5200   17 .002640534 v=0  8  2  6     
   8   E+   3       78.9840   17 .002370843 v=0  8  4  4     
   8   E+   4      116.4240   17 .001981168 v=0  8  6  2     
   8   E+   5      168.8400   17 .001540803 v=0  8  8  0     
   8   E-   1       56.5200   17 .002640534 v=0  8  2  7     
   8   E-   2       78.9840   17 .002370843 v=0  8  4  5     
   8   E-   3      116.4240   17 .001981168 v=0  8  6  3     
   8   E-   4      168.8400   17 .001540803 v=0  8  8  1     
   8   O+   1       50.9040   17 .00271262  v=0  8  1  7     
   8   O+   2       65.8800   17 .002524622 v=0  8  3  5     
   8   O+   3       95.8320   17 .00218681  v=0  8  5  3     
   8   O+   4      140.7600   17 .001762923 v=0  8  7  1     
   8   O-   1       50.9040   17 .00271262  v=0  8  1  8     
   8   O-   2       65.8800   17 .002524622 v=0  8  3  6     
   8   O-   3       95.8320   17 .00218681  v=0  8  5  4     
   8   O-   4      140.7600   17 .001762923 v=0  8  7  2     
   9   E+   1       61.2900   19 .002884439 v=0  9  0  9     
   9   E+   2       68.7780   19 .002782691 v=0  9  2  7     
   9   E+   3       91.2420   19 .002498481 v=0  9  4  5     
   9   E+   4      128.6820   19 .002087827 v=0  9  6  3     
   9   E+   5      181.0980   19 .001623754 v=0  9  8  1     
   9   E-   1       68.7780   19 .002782691 v=0  9  2  8     
   9   E-   2       91.2420   19 .002498481 v=0  9  4  6     
   9   E-   3      128.6820   19 .002087827 v=0  9  6  4     
   9   E-   4      181.0980   19 .001623754 v=0  9  8  2     
   9   O+   1       63.1620   19 .002858658 v=0  9  1  8     
   9   O+   2       78.1380   19 .002660539 v=0  9  3  6     
   9   O+   3      108.0900   19 .002304541 v=0  9  5  4     
   9   O+   4      153.0180   19 .001857832 v=0  9  7  2     
   9   O+   5      212.9220   19 .001393914 v=0  9  9  0     
   9   O-   1       63.1620   19 .002858658 v=0  9  1  9     
   9   O-   2       78.1380   19 .002660539 v=0  9  3  7     
   9   O-   3      108.0900   19 .002304541 v=0  9  5  5     
   9   O-   4      153.0180   19 .001857832 v=0  9  7  3     
   9   O-   5      212.9220   19 .001393914 v=0  9  9  1     
  10   E+   1       74.9100   21 .002986474 v=0 10  0 10     
  10   E+   2       82.3980   21 .002881127 v=0 10  2  8     
  10   E+   3      104.8620   21 .002586863 v=0 10  4  6     
  10   E+   4      142.3020   21 .002161683 v=0 10  6  4     
  10   E+   5      194.7180   21 .001681194 v=0 10  8  2     
  10   E+   6      262.1100   21 .001216889 v=0 10 10  0     
  10   E-   1       82.3980   21 .002881127 v=0 10  2  9     
  10   E-   2      104.8620   21 .002586863 v=0 10  4  7     
  10   E-   3      142.3020   21 .002161683 v=0 10  6  5     
  10   E-   4      194.7180   21 .001681194 v=0 10  8  3     
  10   E-   5      262.1100   21 .001216889 v=0 10 10  1     
  10   O+   1       76.7820   21 .002959781 v=0 10  1  9     
  10   O+   2       91.7580   21 .002754654 v=0 10  3  7     
  10   O+   3      121.7100   21 .002386062 v=0 10  5  5     
  10   O+   4      166.6380   21 .001923552 v=0 10  7  3     
  10   O+   5      226.5420   21 .001443223 v=0 10  9  1     
  10   O-   1       76.7820   21 .002959781 v=0 10  1 10     
  10   O-   2       91.7580   21 .002754654 v=0 10  3  8     
  10   O-   3      121.7100   21 .002386062 v=0 10  5  6     
  10   O-   4      166.6380   21 .001923552 v=0 10  7  4     
  10   O-   5      226.5420   21 .001443223 v=0 10  9  2     
  11   E+   1       89.8920   23 .003044123 v=0 11  0 11     
  11   E+   2       97.3800   23 .002936742 v=0 11  2  9     
  11   E+   3      119.8440   23 .002636798 v=0 11  4  7     
  11   E+   4      157.2840   23 .00220341  v=0 11  6  5     
  11   E+   5      209.7000   23 .001713646 v=0 11  8  3     
  11   E+   6      277.0920   23 .001240379 v=0 11 10  1     
  11   E-   1       97.3800   23 .002936742 v=0 11  2 10     
  11   E-   2      119.8440   23 .002636798 v=0 11  4  8     
  11   E-   3      157.2840   23 .00220341  v=0 11  6  6     
  11   E-   4      209.7000   23 .001713646 v=0 11  8  4     
  11   E-   5      277.0920   23 .001240379 v=0 11 10  2     
  11   O+   1       91.7640   23 .003016915 v=0 11  1 10     
  11   O+   2      106.7400   23 .002807828 v=0 11  3  8     
