ymmetry	Frequency	IR_Intensity	reduced_mass	torsionindex	type	x	modeindex	verindex	zpesum
1	A1G	3049.278		1.0373				1	11	3049.27783203125
2	A1G	1429.853		1.2719				2	11	1429.8525390625
3	A1G	1019.763		3.1494				3	11	1019.76300048828
4	A1U	312.8451		1.0078	1			4	11	312.845092773438
5	A2U	3050.062		1.0334				5	11	3050.06225585938
6	A2U	1409.589		1.1992				6	11	1409.58862304688
7	EG	3114.742		1.1012				7	11	6229.49438476563
8	EG	1513.224		1.0169				9	11	3028.16015625
9	EG	1225.563		1.4697				11	11	2451.13903808594
10	EU	3137.154		1.1026				13	11	6274.79614257813
11	EU	1515.254		1.0616				15	11	3031.40515136719
12	EU	819.8239		1.0582				17	11	1640.63751220703

    
