   J  Sym   #        Energy    g Population Name J Ka Kc     
   0   E+   1        0.0000    1 4.98229e-6 v=0  0  0  0     
   1   E+   1        0.0770    3 1.49414e-5 v=0  1  0  1     
   1   O+   1        0.5160    3 1.49099e-5 v=0  1  1  0     
   1   O-   1        0.5150    3 1.491e-5   v=0  1  1  1     
   2   E+   1        0.2310    5 2.48839e-5 v=0  2  0  2     
   2   E+   2        1.9850    5 2.46754e-5 v=0  2  2  0     
   2   E-   1        1.9850    5 2.46754e-5 v=0  2  2  1     
   2   O+   1        0.6710    5 2.48314e-5 v=0  2  1  1     
   2   O-   1        0.6680    5 2.48318e-5 v=0  2  1  2     
   3   E+   1        0.4620    7 3.47989e-5 v=0  3  0  3     
   3   E+   2        2.2160    7 3.45074e-5 v=0  3  2  1     
   3   E-   1        2.2160    7 3.45074e-5 v=0  3  2  2     
   3   O+   1        0.9035    7 3.47253e-5 v=0  3  1  2     
   3   O+   2        4.4085    7 3.41464e-5 v=0  3  3  0     
   3   O-   1        0.8975    7 3.47263e-5 v=0  3  1  3     
   3   O-   2        4.4085    7 3.41464e-5 v=0  3  3  1     
   4   E+   1        0.7700    9 4.46754e-5 v=0  4  0  4     
   4   E+   2        2.5240    9 4.43011e-5 v=0  4  2  2     
   4   E+   3        7.7860    9 4.31971e-5 v=0  4  4  0     
   4   E-   1        2.5240    9 4.43011e-5 v=0  4  2  3     
   4   E-   2        7.7860    9 4.31971e-5 v=0  4  4  1     
   4   O+   1        1.2135    9 4.45804e-5 v=0  4  1  3     
   4   O+   2        4.7165    9 4.38377e-5 v=0  4  3  1     
   4   O-   1        1.2035    9 4.45826e-5 v=0  4  1  4     
   4   O-   2        4.7165    9 4.38377e-5 v=0  4  3  2     
   5   E+   1        1.1549   11 5.45025e-5 v=0  5  0  5     
   5   E+   2        2.9091   11 5.40459e-5 v=0  5  2  3     
   5   E+   3        8.1710   11 5.26991e-5 v=0  5  4  1     
   5   E-   1        2.9090   11 5.40459e-5 v=0  5  2  4     
   5   E-   2        8.1710   11 5.26991e-5 v=0  5  4  2     
   5   O+   1        1.6010   11 5.4386e-5  v=0  5  1  4     
   5   O+   2        5.1015   11 5.34806e-5 v=0  5  3  2     
   5   O+   3       12.1175   11 5.1711e-5  v=0  5  5  0     
   5   O-   1        1.5860   11 5.439e-5   v=0  5  1  5     
   5   O-   2        5.1015   11 5.34806e-5 v=0  5  3  3     
   5   O-   3       12.1175   11 5.1711e-5  v=0  5  5  1     
   6   E+   1        1.6169   13 6.42695e-5 v=0  6  0  6     
   6   E+   2        3.3711   13 6.37311e-5 v=0  6  2  4     
   6   E+   3        8.6330   13 6.21429e-5 v=0  6  4  2     
   6   E+   4       17.4030   13 5.95834e-5 v=0  6  6  0     
   6   E-   1        3.3710   13 6.37311e-5 v=0  6  2  5     
   6   E-   2        8.6330   13 6.21429e-5 v=0  6  4  3     
   6   E-   3       17.4030   13 5.95834e-5 v=0  6  6  1     
   6   O+   1        2.0660   13 6.41312e-5 v=0  6  1  5     
   6   O+   2        5.5635   13 6.30645e-5 v=0  6  3  3     
   6   O+   3       12.5795   13 6.09778e-5 v=0  6  5  1     
   6   O-   1        2.0450   13 6.41377e-5 v=0  6  1  6     
   6   O-   2        5.5635   13 6.30645e-5 v=0  6  3  4     
   6   O-   3       12.5795   13 6.09778e-5 v=0  6  5  2     
   7   E+   1        2.1558   15 7.39657e-5 v=0  7  0  7     
   7   E+   2        3.9102   15 7.3346e-5  v=0  7  2  5     
   7   E+   3        9.1720   15 7.15182e-5 v=0  7  4  3     
   7   E+   4       17.9420   15 6.85726e-5 v=0  7  6  1     
   7   E-   1        3.9100   15 7.33461e-5 v=0  7  2  6     
   7   E-   2        9.1720   15 7.15182e-5 v=0  7  4  4     
   7   E-   3       17.9420   15 6.85726e-5 v=0  7  6  2     
   7   O+   1        2.6085   15 7.38053e-5 v=0  7  1  6     
   7   O+   2        6.1025   15 7.25788e-5 v=0  7  3  4     
   7   O+   3       13.1185   15 7.01773e-5 v=0  7  5  2     
   7   O+   4       23.6425   15 6.67232e-5 v=0  7  7  0     
   7   O-   1        2.5805   15 7.38152e-5 v=0  7  1  7     
   7   O-   2        6.1025   15 7.25788e-5 v=0  7  3  5     
   7   O-   3       13.1185   15 7.01773e-5 v=0  7  5  3     
   7   O-   4       23.6425   15 6.67232e-5 v=0  7  7  1     
   8   E+   1        2.7716   17 8.35806e-5 v=0  8  0  8     
   8   E+   2        4.5263   17 8.28802e-5 v=0  8  2  6     
   8   E+   3        9.7880   17 8.08149e-5 v=0  8  4  4     
   8   E+   4       18.5580   17 7.74863e-5 v=0  8  6  2     
   8   E+   5       30.8360   17 7.30553e-5 v=0  8  8  0     
   8   E-   1        4.5260   17 8.28803e-5 v=0  8  2  7     
   8   E-   2        9.7880   17 8.08149e-5 v=0  8  4  5     
   8   E-   3       18.5580   17 7.74863e-5 v=0  8  6  3     
   8   E-   4       30.8360   17 7.30553e-5 v=0  8  8  1     
   8   O+   1        3.2284   17 8.33977e-5 v=0  8  1  7     
   8   O+   2        6.7186   17 8.20134e-5 v=0  8  3  5     
   8   O+   3       13.7345   17 7.92997e-5 v=0  8  5  3     
   8   O+   4       24.2585   17 7.53966e-5 v=0  8  7  1     
   8   O-   1        3.1924   17 8.34121e-5 v=0  8  1  8     
   8   O-   2        6.7186   17 8.20134e-5 v=0  8  3  6     
   8   O-   3       13.7345   17 7.92997e-5 v=0  8  5  4     
   8   O-   4       24.2585   17 7.53966e-5 v=0  8  7  2     
   9   E+   1        3.4644   19 9.31037e-5 v=0  9  0  9     
   9   E+   2        5.2195   19 9.23234e-5 v=0  9  2  7     
   9   E+   3       10.4810   19 9.00228e-5 v=0  9  4  5     
   9   E+   4       19.2510   19 8.6315e-5  v=0  9  6  3     
   9   E+   5       31.5290   19 8.13791e-5 v=0  9  8  1     
   9   E-   1        5.2189   19 9.23236e-5 v=0  9  2  8     
   9   E-   2       10.4810   19 9.00228e-5 v=0  9  4  6     
   9   E-   3       19.2510   19 8.6315e-5  v=0  9  6  4     
   9   E-   4       31.5290   19 8.13791e-5 v=0  9  8  2     
   9   O+   1        3.9259   19 9.28979e-5 v=0  9  1  8     
   9   O+   2        7.4116   19 9.13578e-5 v=0  9  3  6     
   9   O+   3       14.4275   19 8.8335e-5  v=0  9  5  4     
   9   O+   4       24.9515   19 8.39872e-5 v=0  9  7  2     
   9   O+   5       38.9835   19 7.85211e-5 v=0  9  9  0     
   9   O-   1        3.8809   19 9.2918e-5  v=0  9  1  9     
   9   O-   2        7.4116   19 9.13578e-5 v=0  9  3  7     
   9   O-   3       14.4275   19 8.8335e-5  v=0  9  5  5     
   9   O-   4       24.9515   19 8.39872e-5 v=0  9  7  3     
   9   O-   5       38.9835   19 7.85211e-5 v=0  9  9  1     
  10   E+   1        4.2342   21 .000102525 v=0 10  0 10     
  10   E+   2        5.9897   21 .000101665 v=0 10  2  8     
  10   E+   3       11.2511   21 9.91321e-5 v=0 10  4  6     
  10   E+   4       20.0210   21 9.50491e-5 v=0 10  6  4     
  10   E+   5       32.2990   21 8.96138e-5 v=0 10  8  2     
  10   E+   6       48.0850   21 8.30798e-5 v=0 10 10  0     
  10   E-   1        5.9889   21 .000101666 v=0 10  2  9     
  10   E-   2       11.2511   21 9.91321e-5 v=0 10  4  7     
  10   E-   3       20.0210   21 9.50491e-5 v=0 10  6  5     
  10   E-   4       32.2990   21 8.96138e-5 v=0 10  8  3     
  10   E-   5       48.0850   21 8.30798e-5 v=0 10 10  1     
  10   O+   1        4.7008   21 .000102296 v=0 10  1  9     
  10   O+   2        8.1816   21 .000100602 v=0 10  3  7     
  10   O+   3       15.1975   21 9.72735e-5 v=0 10  5  5     
  10   O+   4       25.7215   21 9.24858e-5 v=0 10  7  3     
  10   O+   5       39.7535   21 8.64666e-5 v=0 10  9  1     
  10   O-   1        4.6458   21 .000102323 v=0 10  1 10     
  10   O-   2        8.1816   21 .000100602 v=0 10  3  8     
  10   O-   3       15.1975   21 9.72735e-5 v=0 10  5  6     
  10   O-   4       25.7215   21 9.24858e-5 v=0 10  7  4     
  10   O-   5       39.7535   21 8.64666e-5 v=0 10  9  2     
  11   E+   1        5.0808   23 .000111834 v=0 11  0 11     
  11   E+   2        6.8370   23 .000110896 v=0 11  2  9     
  11   E+   3       12.0981   23 .000108133 v=0 11  4  7     
  11   E+   4       20.8680   23 .000103679 v=0 11  6  5     
  11   E+   5       33.1460   23 9.77506e-5 v=0 11  8  3     
  11   E+   6       48.9320   23 9.06233e-5 v=0 11 10  1     
  11   E-   1        6.8358   23 .000110897 v=0 11  2 10     
  11   E-   2       12.0981   23 .000108133 v=0 11  4  8     
  11   E-   3       20.8680   23 .000103679 v=0 11  6  6     
  11   E-   4       33.1460   23 9.77506e-5 v=0 11  8  4     
  11   E-   5       48.9320   23 9.06233e-5 v=0 11 10  2     
  11   O+   1        5.5532   23 .000111581 v=0 11  1 10     
  11   O+   2        9.0287   23 .000109737 v=0 11  3  8     
  11   O+   3       16.0446   23 .000106106 v=0 11  5  6     
  11   O+   4       26.5685   23 .000100883 v=0 11  7  4     
  11   O+   5       40.6005   23 9.43176e-5 v=0 11  9  2     
  11   O+   6       58.1405   23 8.67081e-5 v=0 11 11  0     
  11   O-   1        5.4872   23 .000111616 v=0 11  1 11     
  11   O-   2        9.0287   23 .000109737 v=0 11  3  9     
  11   O-   3       16.0446   23 .000106106 v=0 11  5  7     
  11   O-   4       26.5685   23 .000100883 v=0 11  7  5     
  11   O-   5       40.6005   23 9.43176e-5 v=0 11  9  3     
  11   O-   6       58.1405   23 8.67081e-5 v=0 11 11  1     
  12   E+   1        6.0043   25 .000121022 v=0 12  0 12     
  12   E+   2        7.7615   25 .000120006 v=0 12  2 10     
  12   E+   3       13.0221   25 .000117016 v=0 12  4  8     
  12   E+   4       21.7921   25 .000112197 v=0 12  6  6     
  12   E+   5       34.0700   25 .000105781 v=0 12  8  4     
  12   E+   6       49.8560   25 9.8068e-5  v=0 12 10  2     
  12   E+   7       69.1500   25 8.94007e-5 v=0 12 12  0     
  12   E-   1        7.7597   25 .000120007 v=0 12  2 11     
  12   E-   2       13.0221   25 .000117016 v=0 12  4  9     
  12   E-   3       21.7921   25 .000112197 v=0 12  6  7     
  12   E-   4       34.0700   25 .000105781 v=0 12  8  5     
  12   E-   5       49.8560   25 9.8068e-5  v=0 12 10  3     
  12   E-   6       69.1500   25 8.94007e-5 v=0 12 12  1     
  12   O+   1        6.4831   25 .000120744 v=0 12  1 11     
  12   O+   2        9.9527   25 .000118752 v=0 12  3  9     
  12   O+   3       16.9686   25 .000114822 v=0 12  5  7     
  12   O+   4       27.4925   25 .000109171 v=0 12  7  5     
  12   O+   5       41.5245   25 .000102066 v=0 12  9  3     
  12   O+   6       59.0645   25 9.38312e-5 v=0 12 11  1     
  12   O-   1        6.4051   25 .000120789 v=0 12  1 12     
  12   O-   2        9.9527   25 .000118752 v=0 12  3 10     
  12   O-   3       16.9686   25 .000114822 v=0 12  5  8     
  12   O-   4       27.4925   25 .000109171 v=0 12  7  6     
  12   O-   5       41.5245   25 .000102066 v=0 12  9  4     
  12   O-   6       59.0645   25 9.38312e-5 v=0 12 11  2     
  13   E+   1        7.0047   27 .000130078 v=0 13  0 13     
  13   E+   2        8.7630   27 .000128986 v=0 13  2 11     
  13   E+   3       14.0232   27 .000125772 v=0 13  4  9     
  13   E+   4       22.7931   27 .000120592 v=0 13  6  7     
  13   E+   5       35.0710   27 .000113696 v=0 13  8  5     
