modenumber	Symmetry	Frequency	IR_Intensity	reduced_mass	torsionindex	type	x	modeindex	verindex	zpesum
1	AG	3159.286	0	1.1017				1	0	3159.28588867188
2	AG	3069.258	0	1.0359				2	0	3069.25805664063
3	AG	3065.229	0	1.0598				3	0	3065.22924804688
4	AG	3045.455	0	1.059				4	0	3045.45483398438
5	AG	1521.011	0	1.0701				5	0	1521.01086425781
6	AG	1502.903	0	1.0659				6	0	1502.9033203125
7	AG	1491.012	0	1.0707				7	0	1491.01171875
8	AG	1414.918	0	1.2582				8	0	1414.91784667969
9	AG	1402.66	0	1.8023				9	0	1402.66015625
10	AG	1336.002	0	1.3806				10	0	1336.00244140625
11	AG	1174.666	0	2.6117				11	0	1174.66625976563
12	AG	1101.994	0	1.9705				12	0	1101.99426269531
13	AG	1044.107	0	3.6351				13	0	1044.107421875
14	AG	915.9315	0	1.5702				14	0	915.931518554688
15	AG	369.4498	0	3.436				15	0	369.449798583984
16	AG	293.9899	0	2.5834				16	0	293.989898681641
17	AU	3155.446	83.634	1.1025				17	0	3155.44580078125
18	AU	3121.793	62.778	1.1053				18	0	3121.79272460938
19	AU	3096.697	1.216	1.1022				19	0	3096.69677734375
20	AU	1515.849	14.415	1.0388				20	0	1515.84899902344
21	AU	1342.29	0.956	1.1085				21	0	1342.28955078125
22	AU	1257.563	0.011	1.4106				22	0	1257.56335449219
23	AU	1014.008	0.34	1.1111				23	0	1014.00769042969
24	AU	808.7607	0.968	1.1473				24	0	808.760681152344
25	AU	736.3272	3.79	1.061				25	0	736.327209472656
26	AU	256.4298	0	1.1364				26	0	256.429809570313
27	AU	98.7085	0.001	1.6766				27	0	98.7085037231445
28	AU	72.1499	0.014	2.1889				28	0	72.14990234375
29	BG	3155.222	0	1.1026				29	0	3155.2216796875
30	BG	3113.202	0	1.1045				30	0	3113.20239257813
31	BG	3083.378	0	1.0996				31	0	3083.37768554688
32	BG	1516.072	0	1.0385				32	0	1516.07214355469
33	BG	1335.143	0	1.0385				33	0	1335.14306640625
34	BG	1314.339	0	1.2159				34	0	1314.33935546875
35	BG	1211.371	0	1.8561				35	0	1211.37109375
36	BG	909.2907	0	1.1686				36	0	909.290710449219
37	BG	748.7068	0	1.0924				37	0	748.706787109375
38	BG	245.089	0	1.0906				38	0	245.089004516602
39	BG	148.8042	0	1.9976				39	0	148.80419921875
40	BU	3159.324	59.153	1.1018				40	0	3159.32373046875
41	BU	3069.479	100.73	1.0408				41	0	3069.47924804688
42	BU	3067.03	45.413	1.0541				42	0	3067.02978515625
43	BU	3051.349	15.372	1.0591				43	0	3051.34936523438
44	BU	1523.306	11.139	1.081				44	0	1523.30615234375
45	BU	1511.434	1.068	1.0716				45	0	1511.43432617188
46	BU	1493.83	0.136	1.0723				46	0	1493.82995605469
47	BU	1413.802	6.127	1.2824				47	0	1413.8017578125
48	BU	1386.781	1.275	1.5283				48	0	1386.78100585938
49	BU	1266.715	1.552	1.3252				49	0	1266.71496582031
50	BU	1096.578	2.889	2.0839				50	0	1096.57775878906
51	BU	1074.114	1.067	2.0569				51	0	1074.1142578125
52	BU	909.5693	3.27	2.0445				52	0	909.569274902344
53	BU	463.4993	0.052	2.5367				53	0	463.499298095703
54	BU	127.5227	0.002	2.7787				54	0	127.52269744873

    
