   J  Sym   #        Energy    g Population Name J Ka Kc     
   0   E+   1        0.0000    1 .002277651 v=0  0  0  0     
   1   E+   1       10.6180    3 .00649371  v=0  1  0  1     
   1   O+   1       10.6180    3 .00649371  v=0  1  1  0     
   1   O-   1       10.6180    3 .00649371  v=0  1  1  1     
   2   E+   1       31.8540    5 .009774857 v=0  2  0  2     
   2   E+   2       31.8540    5 .009774857 v=0  2  2  0     
   2   E-   1       31.8540    5 .009774857 v=0  2  2  1     
   2   O+   1       31.8540    5 .009774857 v=0  2  1  1     
   2   O-   1       31.8540    5 .009774857 v=0  2  1  2     
   3   E+   1       63.7080    7 .011746045 v=0  3  0  3     
   3   E+   2       63.7080    7 .011746045 v=0  3  2  1     
   3   E-   1       63.7080    7 .011746045 v=0  3  2  2     
   3   O+   1       63.7080    7 .011746045 v=0  3  1  2     
   3   O+   2       63.7080    7 .011746045 v=0  3  3  0     
   3   O-   1       63.7080    7 .011746045 v=0  3  1  3     
   3   O-   2       63.7080    7 .011746045 v=0  3  3  1     
   4   E+   1      106.1800    9 .012318951 v=0  4  0  4     
   4   E+   2      106.1800    9 .012318951 v=0  4  2  2     
   4   E+   3      106.1800    9 .012318951 v=0  4  4  0     
   4   E-   1      106.1800    9 .012318951 v=0  4  2  3     
   4   E-   2      106.1800    9 .012318951 v=0  4  4  1     
   4   O+   1      106.1800    9 .012318951 v=0  4  1  3     
   4   O+   2      106.1800    9 .012318951 v=0  4  3  1     
   4   O-   1      106.1800    9 .012318951 v=0  4  1  4     
   4   O-   2      106.1800    9 .012318951 v=0  4  3  2     
   5   E+   1      159.2700   11 .011672017 v=0  5  0  5     
   5   E+   2      159.2700   11 .011672017 v=0  5  2  3     
   5   E+   3      159.2700   11 .011672017 v=0  5  4  1     
   5   E-   1      159.2700   11 .011672017 v=0  5  2  4     
   5   E-   2      159.2700   11 .011672017 v=0  5  4  2     
   5   O+   1      159.2700   11 .011672017 v=0  5  1  4     
   5   O+   2      159.2700   11 .011672017 v=0  5  3  2     
   5   O+   3      159.2700   11 .011672017 v=0  5  5  0     
   5   O-   1      159.2700   11 .011672017 v=0  5  1  5     
   5   O-   2      159.2700   11 .011672017 v=0  5  3  3     
   5   O-   3      159.2700   11 .011672017 v=0  5  5  1     
   6   E+   1      222.9780   13 .010162557 v=0  6  0  6     
   6   E+   2      222.9780   13 .010162557 v=0  6  2  4     
   6   E+   3      222.9780   13 .010162557 v=0  6  4  2     
   6   E+   4      222.9780   13 .010162557 v=0  6  6  0     
   6   E-   1      222.9780   13 .010162557 v=0  6  2  5     
   6   E-   2      222.9780   13 .010162557 v=0  6  4  3     
   6   E-   3      222.9780   13 .010162557 v=0  6  6  1     
   6   O+   1      222.9780   13 .010162557 v=0  6  1  5     
   6   O+   2      222.9780   13 .010162557 v=0  6  3  3     
   6   O+   3      222.9780   13 .010162557 v=0  6  5  1     
   6   O-   1      222.9780   13 .010162557 v=0  6  1  6     
   6   O-   2      222.9780   13 .010162557 v=0  6  3  4     
   6   O-   3      222.9780   13 .010162557 v=0  6  5  2     
   7   E+   1      297.3040   15 .008209972 v=0  7  0  7     
   7   E+   2      297.3040   15 .008209972 v=0  7  2  5     
   7   E+   3      297.3040   15 .008209972 v=0  7  4  3     
   7   E+   4      297.3040   15 .008209972 v=0  7  6  1     
   7   E-   1      297.3040   15 .008209972 v=0  7  2  6     
   7   E-   2      297.3040   15 .008209972 v=0  7  4  4     
   7   E-   3      297.3040   15 .008209972 v=0  7  6  2     
   7   O+   1      297.3040   15 .008209972 v=0  7  1  6     
   7   O+   2      297.3040   15 .008209972 v=0  7  3  4     
   7   O+   3      297.3040   15 .008209972 v=0  7  5  2     
   7   O+   4      297.3040   15 .008209972 v=0  7  7  0     
   7   O-   1      297.3040   15 .008209972 v=0  7  1  7     
   7   O-   2      297.3040   15 .008209972 v=0  7  3  5     
   7   O-   3      297.3040   15 .008209972 v=0  7  5  3     
   7   O-   4      297.3040   15 .008209972 v=0  7  7  1     
   8   E+   1      382.2480   17 .006191196 v=0  8  0  8     
   8   E+   2      382.2480   17 .006191196 v=0  8  2  6     
   8   E+   3      382.2480   17 .006191196 v=0  8  4  4     
   8   E+   4      382.2480   17 .006191196 v=0  8  6  2     
   8   E+   5      382.2480   17 .006191196 v=0  8  8  0     
   8   E-   1      382.2480   17 .006191196 v=0  8  2  7     
   8   E-   2      382.2480   17 .006191196 v=0  8  4  5     
   8   E-   3      382.2480   17 .006191196 v=0  8  6  3     
   8   E-   4      382.2480   17 .006191196 v=0  8  8  1     
   8   O+   1      382.2480   17 .006191196 v=0  8  1  7     
   8   O+   2      382.2480   17 .006191196 v=0  8  3  5     
   8   O+   3      382.2480   17 .006191196 v=0  8  5  3     
   8   O+   4      382.2480   17 .006191196 v=0  8  7  1     
   8   O-   1      382.2480   17 .006191196 v=0  8  1  8     
   8   O-   2      382.2480   17 .006191196 v=0  8  3  6     
   8   O-   3      382.2480   17 .006191196 v=0  8  5  4     
   8   O-   4      382.2480   17 .006191196 v=0  8  7  2     
   9   E+   1      477.8100   19 .004375613 v=0  9  0  9     
   9   E+   2      477.8100   19 .004375613 v=0  9  2  7     
   9   E+   3      477.8100   19 .004375613 v=0  9  4  5     
   9   E+   4      477.8100   19 .004375613 v=0  9  6  3     
   9   E+   5      477.8100   19 .004375613 v=0  9  8  1     
   9   E-   1      477.8100   19 .004375613 v=0  9  2  8     
   9   E-   2      477.8100   19 .004375613 v=0  9  4  6     
   9   E-   3      477.8100   19 .004375613 v=0  9  6  4     
   9   E-   4      477.8100   19 .004375613 v=0  9  8  2     
   9   O+   1      477.8100   19 .004375613 v=0  9  1  8     
   9   O+   2      477.8100   19 .004375613 v=0  9  3  6     
   9   O+   3      477.8100   19 .004375613 v=0  9  5  4     
   9   O+   4      477.8100   19 .004375613 v=0  9  7  2     
   9   O+   5      477.8100   19 .004375613 v=0  9  9  0     
   9   O-   1      477.8100   19 .004375613 v=0  9  1  9     
   9   O-   2      477.8100   19 .004375613 v=0  9  3  7     
   9   O-   3      477.8100   19 .004375613 v=0  9  5  5     
   9   O-   4      477.8100   19 .004375613 v=0  9  7  3     
   9   O-   5      477.8100   19 .004375613 v=0  9  9  1     
  10   E+   1      583.9900   21 .002906354 v=0 10  0 10     
  10   E+   2      583.9900   21 .002906354 v=0 10  2  8     
  10   E+   3      583.9900   21 .002906354 v=0 10  4  6     
  10   E+   4      583.9900   21 .002906354 v=0 10  6  4     
  10   E+   5      583.9900   21 .002906354 v=0 10  8  2     
  10   E+   6      583.9900   21 .002906354 v=0 10 10  0     
  10   E-   1      583.9900   21 .002906354 v=0 10  2  9     
  10   E-   2      583.9900   21 .002906354 v=0 10  4  7     
  10   E-   3      583.9900   21 .002906354 v=0 10  6  5     
  10   E-   4      583.9900   21 .002906354 v=0 10  8  3     
  10   E-   5      583.9900   21 .002906354 v=0 10 10  1     
  10   O+   1      583.9900   21 .002906354 v=0 10  1  9     
  10   O+   2      583.9900   21 .002906354 v=0 10  3  7     
  10   O+   3      583.9900   21 .002906354 v=0 10  5  5     
  10   O+   4      583.9900   21 .002906354 v=0 10  7  3     
  10   O+   5      583.9900   21 .002906354 v=0 10  9  1     
  10   O-   1      583.9900   21 .002906354 v=0 10  1 10     
  10   O-   2      583.9900   21 .002906354 v=0 10  3  8     
  10   O-   3      583.9900   21 .002906354 v=0 10  5  6     
  10   O-   4      583.9900   21 .002906354 v=0 10  7  4     
  10   O-   5      583.9900   21 .002906354 v=0 10  9  2     
  11   E+   1      700.7880   23 .001817965 v=0 11  0 11     
  11   E+   2      700.7880   23 .001817965 v=0 11  2  9     
  11   E+   3      700.7880   23 .001817965 v=0 11  4  7     
  11   E+   4      700.7880   23 .001817965 v=0 11  6  5     
  11   E+   5      700.7880   23 .001817965 v=0 11  8  3     
  11   E+   6      700.7880   23 .001817965 v=0 11 10  1     
  11   E-   1      700.7880   23 .001817965 v=0 11  2 10     
  11   E-   2      700.7880   23 .001817965 v=0 11  4  8     
  11   E-   3      700.7880   23 .001817965 v=0 11  6  6     
  11   E-   4      700.7880   23 .001817965 v=0 11  8  4     
  11   E-   5      700.7880   23 .001817965 v=0 11 10  2     
  11   O+   1      700.7880   23 .001817965 v=0 11  1 10     
  11   O+   2      700.7880   23 .001817965 v=0 11  3  8     
  11   O+   3      700.7880   23 .001817965 v=0 11  5  6     
  11   O+   4      700.7880   23 .001817965 v=0 11  7  4     
  11   O+   5      700.7880   23 .001817965 v=0 11  9  2     
  11   O+   6      700.7880   23 .001817965 v=0 11 11  0     
  11   O-   1      700.7880   23 .001817965 v=0 11  1 11     
  11   O-   2      700.7880   23 .001817965 v=0 11  3  9     
  11   O-   3      700.7880   23 .001817965 v=0 11  5  7     
  11   O-   4      700.7880   23 .001817965 v=0 11  7  5     
  11   O-   5      700.7880   23 .001817965 v=0 11  9  3     
  11   O-   6      700.7880   23 .001817965 v=0 11 11  1     
  12   E+   1      828.2040   25 .001072533 v=0 12  0 12     
  12   E+   2      828.2040   25 .001072533 v=0 12  2 10     
  12   E+   3      828.2040   25 .001072533 v=0 12  4  8     
  12   E+   4      828.2040   25 .001072533 v=0 12  6  6     
  12   E+   5      828.2040   25 .001072533 v=0 12  8  4     
  12   E+   6      828.2040   25 .001072533 v=0 12 10  2     
  12   E+   7      828.2040   25 .001072533 v=0 12 12  0     
  12   E-   1      828.2040   25 .001072533 v=0 12  2 11     
  12   E-   2      828.2040   25 .001072533 v=0 12  4  9     
  12   E-   3      828.2040   25 .001072533 v=0 12  6  7     
  12   E-   4      828.2040   25 .001072533 v=0 12  8  5     
  12   E-   5      828.2040   25 .001072533 v=0 12 10  3     
  12   E-   6      828.2040   25 .001072533 v=0 12 12  1     
  12   O+   1      828.2040   25 .001072533 v=0 12  1 11     
  12   O+   2      828.2040   25 .001072533 v=0 12  3  9     
  12   O+   3      828.2040   25 .001072533 v=0 12  5  7     
  12   O+   4      828.2040   25 .001072533 v=0 12  7  5     
  12   O+   5      828.2040   25 .001072533 v=0 12  9  3     
  12   O+   6      828.2040   25 .001072533 v=0 12 11  1     
  12   O-   1      828.2040   25 .001072533 v=0 12  1 12     
  12   O-   2      828.2040   25 .001072533 v=0 12  3 10     
  12   O-   3      828.2040   25 .001072533 v=0 12  5  8     
  12   O-   4      828.2040   25 .001072533 v=0 12  7  6     
  12   O-   5      828.2040   25 .001072533 v=0 12  9  4     
  12   O-   6      828.2040   25 .001072533 v=0 12 11  2     
  13   E+   1      966.2380   27 .000597491 v=0 13  0 13     
  13   E+   2      966.2380   27 .000597491 v=0 13  2 11     
  13   E+   3      966.2380   27 .000597491 v=0 13  4  9     
  13   E+   4      966.2380   27 .000597491 v=0 13  6  7     
  13   E+   5      966.2380   27 .000597491 v=0 13  8  5     
  13   E+   6      966.2380   27 .000597491 v=0 13 10  3     
  13   E+   7      966.2380   27 .000597491 v=0 13 12  1     
