   J  Sym   #        Energy    g Population Name J Ka Kc     
   0   E+   1        0.0000    1 9.1018e-6  v=0  0  0  0     
   1   E+   1        0.1300    3 2.72884e-5 v=0  1  0  1     
   1   O+   1        0.6260    3 2.72235e-5 v=0  1  1  0     
   1   O-   1        0.6220    3 2.72241e-5 v=0  1  1  1     
   2   E+   1        0.3900    5 4.54239e-5 v=0  2  0  2     
   2   E+   2        2.3660    5 4.49955e-5 v=0  2  2  0     
   2   E-   1        2.3660    5 4.49955e-5 v=0  2  2  1     
   2   O+   1        0.8900    5 4.53151e-5 v=0  2  1  1     
   2   O-   1        0.8780    5 4.53178e-5 v=0  2  1  2     
   3   E+   1        0.7799    7 6.34747e-5 v=0  3  0  3     
   3   E+   2        2.7561    7 6.28759e-5 v=0  3  2  1     
   3   E-   1        2.7560    7 6.2876e-5  v=0  3  2  2     
   3   O+   1        1.2860    7 6.33208e-5 v=0  3  1  2     
   3   O+   2        5.2260    7 6.21356e-5 v=0  3  3  0     
   3   O-   1        1.2620    7 6.33281e-5 v=0  3  1  3     
   3   O-   2        5.2260    7 6.21356e-5 v=0  3  3  1     
   4   E+   1        1.2996    9 8.14072e-5 v=0  4  0  4     
   4   E+   2        3.2763    9 8.06391e-5 v=0  4  2  2     
   4   E+   3        9.2040    9 7.83789e-5 v=0  4  4  0     
   4   E-   1        3.2760    9 8.06392e-5 v=0  4  2  3     
   4   E-   2        9.2040    9 7.83789e-5 v=0  4  4  1     
   4   O+   1        1.8139    9 8.12066e-5 v=0  4  1  3     
   4   O+   2        5.7461    9 7.96896e-5 v=0  4  3  1     
   4   O-   1        1.7739    9 8.12222e-5 v=0  4  1  4     
   4   O-   2        5.7461    9 7.96896e-5 v=0  4  3  2     
   5   E+   1        1.9492   11 9.91882e-5 v=0  5  0  5     
   5   E+   2        3.9268   11 9.82519e-5 v=0  5  2  3     
   5   E+   3        9.8541   11 9.54982e-5 v=0  5  4  1     
   5   E-   1        3.9259   11 9.82523e-5 v=0  5  2  4     
   5   E-   2        9.8541   11 9.54982e-5 v=0  5  4  2     
   5   O+   1        2.4738   11 9.89389e-5 v=0  5  1  4     
   5   O+   2        6.3961   11 9.70952e-5 v=0  5  3  2     
   5   O+   3       14.3000   11 9.34835e-5 v=0  5  5  0     
   5   O-   1        2.4138   11 9.89674e-5 v=0  5  1  5     
   5   O-   2        6.3961   11 9.70952e-5 v=0  5  3  3     
   5   O-   3       14.3000   11 9.34835e-5 v=0  5  5  1     
   6   E+   1        2.7283   13 .000116785 v=0  6  0  6     
   6   E+   2        4.7075   13 .000115682 v=0  6  2  4     
   6   E+   3       10.6342   13 .00011244  v=0  6  4  2     
   6   E+   4       20.5140   13 .000107237 v=0  6  6  0     
   6   E-   1        4.7058   13 .000115683 v=0  6  2  5     
   6   E-   2       10.6342   13 .00011244  v=0  6  4  3     
   6   E-   3       20.5140   13 .000107237 v=0  6  6  1     
   6   O+   1        3.2656   13 .000116485 v=0  6  1  5     
   6   O+   2        7.1763   13 .00011432  v=0  6  3  3     
   6   O+   3       15.0801   13 .000110068 v=0  6  5  1     
   6   O-   1        3.1816   13 .000116532 v=0  6  1  6     
   6   O-   2        7.1763   13 .00011432  v=0  6  3  4     
   6   O-   3       15.0801   13 .000110068 v=0  6  5  2     
   7   E+   1        3.6369   15 .000134166 v=0  7  0  7     
   7   E+   2        5.6187   15 .000132897 v=0  7  2  5     
   7   E+   3       11.5443   15 .000129174 v=0  7  4  3     
   7   E+   4       21.4241   15 .000123196 v=0  7  6  1     
   7   E-   1        5.6156   15 .000132899 v=0  7  2  6     
   7   E-   2       11.5443   15 .000129174 v=0  7  4  4     
   7   E-   3       21.4241   15 .000123196 v=0  7  6  2     
   7   O+   1        4.1893   15 .000133811 v=0  7  1  6     
   7   O+   2        8.0865   15 .000131333 v=0  7  3  4     
