modenumber	Symmetry	Frequency	IR_Intensity	reduced_mass	torsionindex	type	x	modeindex	verindex	zpesum
1	A1	3175.996	35.809	1.1024				1	0	3175.99584960938
2	A1	3077.028	3.408	1.0393				2	0	3077.0283203125
3	A1	3073.444	88.586	1.0581				3	0	3073.44360351563
4	A1	3055.137	11.656	1.0601				4	0	3055.13745117188
5	A1	1506.761	5.922	1.0819				5	0	1506.76147460938
6	A1	1492.78	0.006	1.0662				6	0	1492.78039550781
7	A1	1479.51	0.029	1.0756				7	0	1479.50988769531
8	A1	1414.531	2.142	1.3345				8	0	1414.53100585938
9	A1	1363.656	0.027	1.4335				9	0	1363.65563964844
10	A1	1175.734	0.773	2.4122				10	0	1175.73364257813
11	A1	1086.407	0.702	2.5688				11	0	1086.40686035156
12	A1	888.2285	0.949	1.6601				12	0	888.228515625
13	A1	403.5864	0	3.2999				13	0	403.586395263672
14	A1	175.6262	0.011	2.5161				14	0	175.626205444336
15	A2	3172.251	0	1.103				15	0	3172.25122070313
16	A2	3120.709	0	1.1032				16	0	3120.70947265625
17	A2	1497.558	0	1.0395				17	0	1497.55798339844
18	A2	1330.251	0	1.0483				18	0	1330.25146484375
19	A2	1267.463	0	1.3356				19	0	1267.46325683594
20	A2	989.5631	0	1.1189				20	0	989.563110351563
21	A2	767.5337	0	1.1084				21	0	767.53369140625
22	A2	266.0457	0	1.1575				22	0	266.045684814453
23	A2	109.9266	0	1.5262				23	0	109.926597595215
24	B1	3172.901	82.62	1.1028				24	0	3172.90112304688
25	B1	3133.367	51.483	1.1052				25	0	3133.36694335938
26	B1	3100.828	1.037	1.0999				26	0	3100.82836914063
27	B1	1496.692	13.126	1.0367				27	0	1496.69152832031
28	B1	1326.981	0.68	1.1569				28	0	1326.98107910156
29	B1	1209.965	0.079	1.8244				29	0	1209.96459960938
30	B1	865.5673	1.104	1.1545				30	0	865.567321777344
31	B1	740.283	3.043	1.063				31	0	740.283020019531
32	B1	256.6311	0	1.0769				32	0	256.631103515625
33	B1	117.4967	0.001	2.3066				33	0	117.496696472168
34	B2	3175.915	24.464	1.1027				34	0	3175.91455078125
35	B2	3076.242	39.479	1.0372				35	0	3076.24243164063
36	B2	3069.02	1.255	1.0599				36	0	3069.02001953125
37	B2	1502.976	1.36	1.0771				37	0	1502.97619628906
38	B2	1482.599	0.484	1.0672				38	0	1482.59875488281
39	B2	1414.904	2.377	1.7798				39	0	1414.90405273438
40	B2	1406.474	0	1.2938				40	0	1406.47424316406
41	B2	1278.995	4.736	1.3334				41	0	1278.9951171875
42	B2	1112.841	0.182	1.8209				42	0	1112.84069824219
43	B2	1057.356	0.613	2.1285				43	0	1057.35583496094
44	B2	949.6405	2.362	1.7144				44	0	949.640502929688
45	B2	395.4271	0.002	2.3165				45	0	395.427093505859

    
