   J  Sym   #        Energy    g Population Name J Ka Kc     
   0   E+   1        0.0000    1 5.00244e-5 v=0  0  0  0     
   1   E+   1        0.5420    3 .000149684 v=0  1  0  1     
   1   O+   1        1.2630    3 .000149167 v=0  1  1  0     
   1   O-   1        1.2290    3 .000149191 v=0  1  1  1     
   2   E+   1        1.6248    5 .00024818  v=0  2  0  2     
   2   E+   2        4.4432    5 .000244848 v=0  2  2  0     
   2   E-   1        4.4420    5 .00024485  v=0  2  2  1     
   2   O+   1        2.3810    5 .000247282 v=0  2  1  1     
   2   O-   1        2.2790    5 .000247403 v=0  2  1  2     
   3   E+   1        3.2459    7 .000344762 v=0  3  0  3     
   3   E+   2        6.0741    7 .000340117 v=0  3  2  1     
   3   E-   1        6.0680    7 .000340127 v=0  3  2  2     
   3   O+   1        4.0572    7 .000343423 v=0  3  1  2     
   3   O+   2        9.5888    7 .000334432 v=0  3  3  0     
   3   O-   1        3.8532    7 .000343759 v=0  3  1  3     
   3   O-   2        9.5888    7 .000334432 v=0  3  3  1     
   4   E+   1        5.4016    9 .000438706 v=0  4  0  4     
   4   E+   2        8.2534    9 .000432747 v=0  4  2  2     
   4   E+   3       16.6850    9 .000415597 v=0  4  4  0     
   4   E-   1        8.2350    9 .000432785 v=0  4  2  3     
   4   E-   2       16.6850    9 .000415597 v=0  4  4  1     
   4   O+   1        6.2907    9 .000436839 v=0  4  1  3     
   4   O+   2       11.7593    9 .000425531 v=0  4  3  1     
   4   O-   1        5.9509    9 .000437552 v=0  4  1  4     
   4   O-   2       11.7591    9 .000425531 v=0  4  3  2     
   5   E+   1        8.0875   11 .000529333 v=0  5  0  5     
   5   E+   2       10.9848   11 .000522029 v=0  5  2  3     
   5   E+   3       19.3977   11 .000501386 v=0  5  4  1     
   5   E-   1       10.9423   11 .000522135 v=0  5  2  4     
   5   E-   2       19.3977   11 .000501386 v=0  5  4  2     
   5   O+   1        9.0800   11 .00052682  v=0  5  1  4     
   5   O+   2       14.4739   11 .000513366 v=0  5  3  2     
   5   O+   3       25.7312   11 .000486385 v=0  5  5  0     
   5   O-   1        8.5708   11 .000528108 v=0  5  1  5     
   5   O-   2       14.4731   11 .000513368 v=0  5  3  3     
   5   O-   3       25.7312   11 .000486385 v=0  5  5  1     
   6   E+   1       11.2981   13 .000616017 v=0  6  0  6     
   6   E+   2       14.2727   13 .000607292 v=0  6  2  4     
   6   E+   3       22.6539   13 .000583365 v=0  6  4  2     
   6   E+   4       36.7274   13 .00054529  v=0  6  6  0     
   6   E-   1       14.1888   13 .000607536 v=0  6  2  5     
   6   E-   2       22.6539   13 .000583365 v=0  6  4  3     
   6   E-   3       36.7274   13 .00054529  v=0  6  6  1     
