modenumber	Symmetry	Frequency	IR_Intensity	reduced_mass	torsionindex	type	x	modeindex	verindex	zpesum
1	A1	3165.913	35.557	1.1007				1	11	3165.91259765625
2	A1	3095.745	32.657	1.0583				2	11	3095.74536132813
3	A1	3086.784	7.845	1.0379				3	11	3086.7841796875
4	A1	1540.01	5.022	1.0798				4	11	1540.01049804688
5	A1	1517.676	0.017	1.0452				5	11	1517.67578125
6	A1	1431.494	3.856	1.2452				6	11	1431.49389648438
7	A1	1196.071	0.806	1.8216				7	11	1196.0712890625
8	A1	905.8718	0.895	2.475				8	11	905.871826171875
9	A1	369.5289	0.051	2.0405				9	11	369.528900146484
10	A2	3152.799	0	1.1022				10	11	3152.79858398438
11	A2	1518.315	0	1.0359				11	11	1518.31481933594
12	A2	1338.096	0	1.1253				12	11	1338.09558105469
13	A2	921.3836	0	1.1025				13	11	921.383605957031
14	A2	236.0125	0	1.0284	1			14	11	236.012496948242
15	B1	3161.805	70.078	1.103				15	11	3161.80517578125
16	B1	3118.114	2.513	1.1023				16	11	3118.11352539063
17	B1	1536.27	13.869	1.0404				17	11	1536.27038574219
18	B1	1228.782	0.095	1.6624				18	11	1228.7822265625
19	B1	763.1112	2.796	1.075				19	11	763.111206054688
20	B1	293.0451	0.001	1.1372	2			20	11	293.045104980469
21	B2	3163.803	23.303	1.1019				21	11	3163.80346679688
22	B2	3086.476	27.456	1.0355				22	11	3086.47631835938
23	B2	1524.1	2.122	1.0505				23	11	1524.10046386719
24	B2	1418.663	5.432	1.3557				24	11	1418.66296386719
25	B2	1380.518	0.966	1.392				25	11	1380.51782226563
26	B2	1098.933	0.523	2.3178				26	11	1098.93273925781
27	B2	943.1195	1.817	1.18				27	11	943.119506835938

    
