system  dos(mK-1) lt(ns)
jfec_li2li 0.0508 2.43801258743
jfec_cs2cs 24.1996 1161.39624824
jfec_k2k 3.0456 146.165573548
mayle_knak 1.2159 58.3539272648
mayle_nalina 0.1949 9.35371364743
mayle_cslics 1.4085 67.5972584525
mayle_rbnarb 2.7314 131.086369711
mayle_klik 0.3258 15.6359153737
mayle_csrbcs 12.1073 581.058066924
mayle_csnacs 4.9617 238.123760926
mayle_cskcs 7.6788 368.523839691
mayle_rblirb 0.7552 36.2438406698
mayle_rbkrb 4.9458 237.360682183
jfec_ethane 0.0051 0.244761106218
jfec_methane 0.001 0.0479923737682
jfec_pentane 0.1002 4.80883585158
jfec_butane 0.0353 1.69413079402
jfec_propane 0.0205 0.983843662249
jfec_hexane 0.1097 5.26476340237
