system             dos(mK-1)       lt(ns)
---------------  -----------  -----------
croft_133Cs2       0.0073089  0.000350772
croft_23Na133Cs    0.0041607  0.000199682
croft_23Na2        0.0016188  7.76902e-05
croft_23Na39K      0.0022937  0.00011008
croft_23Na40K      0.0029735  0.000142705
croft_23Na41K      0.0017885  8.58345e-05
croft_23Na85Rb     0.0034708  0.000166572
croft_23Na87Rb     0.0023902  0.000114712
croft_39K133Cs     0.005269   0.000252872
croft_39K2         0.00265    0.00012718
croft_39K40K       0.0034609  0.000166097
croft_39K41K       0.0036099  0.000173248
croft_39K85Rb      0.004232   0.000203104
croft_39K87Rb      0.0041533  0.000199327
croft_40K133Cs     0.0048209  0.000231367
croft_40K2         0.0034238  0.000164316
croft_40K41K       0.0029288  0.00014056
croft_40K85Rb      0.0044274  0.000212482
croft_40K87Rb      0.0039797  0.000190995
croft_41K133Cs     0.0051683  0.000248039
croft_41K2         0.0038123  0.000182962
croft_41K85Rb      0.0045408  0.000217924
croft_41K87Rb      0.0042172  0.000202394
croft_6Li133Cs     0.0029456  0.000141367
croft_6Li2         0.0004948  2.37467e-05
croft_6Li23Na      0.0009838  4.7215e-05
croft_6Li39K       0.0014059  6.74726e-05
croft_6Li40K       0.0010184  4.88755e-05
croft_6Li41K       0.0010086  4.84052e-05
croft_6Li7Li       0.000367   1.76132e-05
croft_6Li85Rb      0.0015182  7.28621e-05
croft_6Li87Rb      0.0020198  9.69351e-05
croft_7Li133Cs     0.0032338  0.000155198
croft_7Li2         0.0003349  1.60727e-05
croft_7Li23Na      0.0012623  6.05808e-05
croft_7Li39K       0.0010115  4.85443e-05
croft_7Li40K       0.0012213  5.86132e-05
croft_7Li41K       0.0011447  5.49369e-05
croft_7Li85Rb      0.0023486  0.000112715
croft_7Li87Rb      0.002021   9.69927e-05
croft_85Rb133Cs    0.0064269  0.000308443
croft_85Rb2        0.0047075  0.000225924
croft_85Rb87Rb     0.0046198  0.000221715
croft_87Rb133Cs    0.0057154  0.000274296
croft_87Rb2        0.0051344  0.000246412
mayle_krbkrb       0.0039908  0.000191528
mayle_rbcsrbcs     0.0059741  0.000286712
