system  dos(uK-1) lt(ms)
mayle_krbkrb 0.0039908 0.000191528201782
mayle_rbcsrbcs 0.0059741 0.000286711594233
croft_39K87Rb 0.0041533 0.000199326972151
croft_23Na85Rb 0.0034708 0.000166572136601
croft_23Na133Cs 0.0041607 0.000199682116156
croft_23Na40K 0.0029735 0.000142705499649
croft_87Rb133Cs 0.0057154 0.000274295951806
croft_6Li40K 0.0010184 4.88754938095e-05
croft_23Na87Rb 0.0023902 0.000114711513456
croft_7Li41K 0.0011447 5.49369381026e-05
croft_41K133Cs 0.0051683 0.000248039291689
croft_39K133Cs 0.005269 0.000252872129696
croft_6Li85Rb 0.0015182 7.28621118436e-05
croft_39K40K 0.0034609 0.000166097011513
croft_39K2 0.00265 0.00012717994756
croft_40K2 0.0034238 0.000164316492248
croft_6Li23Na 0.0009838 4.72149556263e-05
croft_6Li133Cs 0.0029456 0.000141366510767
croft_87Rb2 0.0051344 0.000246412348208
croft_7Li23Na 0.0012623 6.05808482283e-05
croft_40K87Rb 0.0039797 0.000190995485775
croft_23Na39K 0.0022937 0.000110080243667
croft_6Li87Rb 0.0020198 9.69351162573e-05
croft_7Li133Cs 0.0032338 0.00015519792997
croft_39K41K 0.0036099 0.000173247884037
croft_133Cs2 0.0073089 0.000350771893857
croft_85Rb133Cs 0.0064269 0.000308442567915
croft_41K87Rb 0.0042172 0.000202393688623
croft_6Li7Li 0.000367 1.76132229262e-05
croft_23Na41K 0.0017885 8.58344664948e-05
croft_41K85Rb 0.0045408 0.000217924039955
croft_6Li41K 0.0010086 4.84051679657e-05
croft_7Li39K 0.0010115 4.85443460215e-05
croft_7Li87Rb 0.002021 9.69927071769e-05
croft_39K85Rb 0.004232 0.000203103976632
croft_7Li85Rb 0.0023486 0.000112715028241
croft_7Li2 0.0003349 1.60726658256e-05
croft_7Li40K 0.0012213 5.86131584736e-05
croft_41K2 0.0038123 0.000182961552484
croft_40K41K 0.0029288 0.000140560237892
croft_85Rb87Rb 0.0046198 0.000221715442165
croft_23Na2 0.0016188 7.76901506076e-05
croft_6Li39K 0.0014059 6.74725616131e-05
croft_6Li2 0.0004948 2.37466558689e-05
croft_40K133Cs 0.0048209 0.00023136672045
croft_40K85Rb 0.0044274 0.000212481698048
croft_85Rb2 0.0047075 0.000225924378543
